brgyDesc,muncity,province,region,zipCode
Virbira,Carasi,Ilocos Norte,REGION I (Ilocos Region),2911
Anggapang Norte,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Anggapang Sur,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Bimmanga,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Cabuusan,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Comcomloong,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Gaang,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Lang-ayan-Baramban,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Lioes,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Maglaoi Centro,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Maglaoi Norte,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Maglaoi Sur,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Paguludan-Salindeg,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Pangil,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Pias Norte,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Pias Sur,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Poblacion I,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Poblacion II,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Salugan,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
San Simeon,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Santa Cruz,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Tapao-Tigue,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Torre,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Victoria,Currimao,Ilocos Norte,REGION I (Ilocos Region),2903
Albano (Pob.),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Bacsil,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Bagut,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Parado (Bangay),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Baresbes,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Barong,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Bungcag,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Cali,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Capasan,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Dancel (Pob.),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Foz,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Guerrero (Pob.),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Lanas,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Lumbad,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Madamba (Pob.),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Mandaloque,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Medina,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Ver (Naglayaan),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
San Marcelino (Padong),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Puruganan (Pob.),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Peralta (Pob.),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Root (Baldias),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Sagpatan,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Saludares,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
San Esteban,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Espiritu,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Sulquiano (Sidiran),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
San Francisco (Surrate),Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Suyo,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
San Marcos,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Elizabeth,Dingras,Ilocos Norte,REGION I (Ilocos Region),2913
Dumalneg,Dumalneg,Ilocos Norte,REGION I (Ilocos Region),2921
San Isidro,Dumalneg,Ilocos Norte,REGION I (Ilocos Region),2921
Balioeg,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Bangsar,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Barbarangay,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Bomitog,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Bugasi,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Caestebanan,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Caribquib,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Catagtaguen,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Crispina,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Hilario (Pob.),Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Imelda,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Lorenzo (Pob.),Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Macayepyep,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Marcos (Pob.),Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Nagpatayan,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Valdez,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Sinamar,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Tabtabagan,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Valenciano (Pob.),Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Binacag,Banna (Espiritu),Ilocos Norte,REGION I (Ilocos Region),2908
Bgy. No. 42 Apaya,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 36 Araniw,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 56-A Bacsil North,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 56-B Bacsil South,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 41 Balacad,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 40 Balatong,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 55-A Barit-Pandan,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 47 Bengcag,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 50 Buttong,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 60-A Caaoacan,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bry. No. 48-A Cabungaan North,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 48-B Cabungaan South,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 37 Calayab,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 54-B Camangaan,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 58 Casili,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 61 Cataban,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 43 Cavit,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 49-A Darayday,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 59-B Dibua North,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 59-A Dibua South,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 34-B Gabu Norte East,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 34-A Gabu Norte West,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 35 Gabu Sur,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 32-C La Paz East,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 33-B La Paz Proper,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 32-B La Paz West,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 54-A Lagui-Sail,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 32-A La Paz East,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 33-A La Paz Proper,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 52-B Lataag,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 60-B Madiladig,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 38-A Mangato East,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 38-B Mangato West,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 62-A Navotas North,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 62-B Navotas South,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 46 Nalbo,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 51-A Nangalisan East,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 51-B Nangalisan West,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 24 Nstra. Sra. De Consolacion (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 7-A Nstra. Sra. De Natividad (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 7-B Nstra. Sra. De Natividad (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 27 Nstra. Sra. De Soledad (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 13 Nstra. Sra. De Visitacion (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 3 Nstra. Sra. Del Rosario (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 57 Pila,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 49-B Raraburan,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 53 Rioeng,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 55-B Salet-Bulangon,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 6 San Agustin (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 22 San Andres (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 28 San Bernardo (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 17 San Francisco (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 4 San Guillermo (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 15 San Guillermo (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 12 San Isidro (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 16 San Jacinto (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 10 San Jose (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 1 San Lorenzo (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 26 San Marcelino (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 52-A San Mateo,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 23 San Matias (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 20 San Miguel (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 21 San Pedro (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 5 San Pedro (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bry. No. 18 San Quirino (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 8 San Vicente (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 9 Santa Angela (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 11  Santa Balbina (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 25  Santa Cayetana (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 2  Santa Joaquina (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 19  Santa Marcela (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 30-B  Santa Maria,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 39  Santa Rosa,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 14  Santo Tomas (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 29  Santo Tomas (Pob.),Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 30-A  Suyo,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 31  Talingaan,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 45  Tangid,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 55-C  Vira,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Bgy. No. 44  Zamboanga,Laoag City (Capital),Ilocos Norte,REGION I (Ilocos Region),2900
Pacifico (Agunit),Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Imelda (Capariaan),Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Elizabeth (Culao),Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Daquioag,Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Escoda,Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Ferdinand,Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Fortuna,Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Lydia (Pob.),Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Mabuti,Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Valdez (Biding),Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Tabucbuc (Ragas),Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Santiago,Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Cacafean,Marcos,Ilocos Norte,REGION I (Ilocos Region),2907
Acnam,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Barangobong,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Barikir,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Bugayong,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Cabittauran,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Caray,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Garnaden,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Naguillan (Pagpag-ong),Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Poblacion,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Santo Ni̱o,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Uguis,Nueva Era,Ilocos Norte,REGION I (Ilocos Region),2909
Aggasi,Pagudpud,Ilocos Norte,REGION I (Ilocos Region),2919
Baduang,Pagudpud,Ilocos Norte,REGION I (Ilocos Region),2919
Balaoi,Pagudpud,Ilocos Norte,REGION I (Ilocos Region),2919
